证券代码,证券简称,一致预测营业收入(FY1),一致预测净利润(FY1),一致预测ROE(FY1),一致预测每股净资产(FY1),每股收益EPS-基本,净资产收益率ROE(平均),总资产报酬率ROA,资产负债率,流动比率,总资产(同比增长率),营业收入(同比增长率),销售毛利率,每股净资产BPS,营业利润,长期借款,短期借款,营业收入,报告期,下一期营收
000860.SZ,顺鑫农业,14524863333,1174095000,13.3819,11.7564,1.7472,17.303,9.7924,63.8434,1.5917,10.1327,16.363,36.8173,9.803,1826443688,871404800,2050000000,16832077365,中报,14749240207
000869.SZ,张裕A,5173333333,1041666667,10.55,14.91,1.76,12.4426,12.3418,24.7402,1.8731,2.6428,-9.545,63.403,14.285,1618096058,165949250,678170667,5116549570,中报,4701833280
000876.SZ,新希望,77215720714,3350022857,13.8245,5.8654,0.76,14.1502,9.6866,44.6723,0.662,12.5302,11.5398,9.3041,5.3548,4667408490,1551822927,9219125416,70588597903,中报,75889753901
000877.SZ,天山股份,9279591667,1708421667,18.0267,9.0022,1.2786,15.6996,12.5122,43.4046,0.7184,-5.7748,33.1502,36.982,8.2784,1923874142,948978860.8,2030682681,7912299954,中报,9650204564
000878.SZ,云南铜业,60250896250,524182500,6.7263,4.8329,0.4438,9.5464,5.6974,69.5433,1.1958,22.7908,26.9324,7.5634,4.7719,1277436138,11137162665,5928571554,51307795241,中报,59225954955
000887.SZ,中鼎股份,12575443000,1095535000,11.975,7.5184,0.74,10.7642,7.3362,48.9698,2.7403,9.4181,-8.4622,27.2248,6.9348,1103302978,3618492278,936632183.9,11164250446,中报,10909816067
000895.SZ,双汇发展,53956553500,5017906500,33.1629,4.514,1.4436,35.9154,25.8774,40.649,1.2716,14.5351,7.6719,19.5,4.1068,5999119637,4907312.25,3174942466,50867188393,中报,55957971982
000898.SZ,鞍钢股份,1.02132E+11,2859625000,5.2788,5.735,0.304,5.4956,5.4746,41.5074,0.8191,-3.6014,0.4168,10.009,5.5033,3724000000,2744000000,14795000000,1.02148E+11,中报,1.03497E+11
000925.SZ,众合科技,2697600000,144800000,6.136,4.508,0.0902,2.1078,2.5584,64.1515,0.902,17.2086,31.7928,29.571,4.2281,73373723.32,475780776.5,1590340209,2097522539,中报,2239833766
000932.SZ,华菱钢铁,92899521429,4661050219,20.1123,5.1943,1.0598,23.9874,11.1114,60.4006,0.8015,0.1807,11.1678,13.6491,4.6837,7498413289,3727050001,14306898638,96673012428,中报,1.09093E+11
000933.SZ,神火股份,19064030000,359424000,5.598,3.3501,0.288,8.8292,4.305,84.9705,0.3958,-4.3749,-0.6655,15.8991,3.328,614625077.1,1454500000,18344125532,18222470125,中报,17886064719
000937.SZ,冀中能源,21911000000,842000000,4.125,5.77,0.2588,4.5458,5.2544,51.4284,1.1921,-0.2579,5.7619,21.491,5.7582,2006655679,1616000000,5126000000,22810727355,中报,22610453361
000959.SZ,首钢股份,67407375000,1711875000,6.1938,4.9648,0.3788,7.7054,3.725,72.1086,0.3311,1.6762,3.9543,11.6291,5.0411,3007993213,17466650000,33332670000,65567227071,中报,67051212413
000960.SZ,锡业股份,41600510833,1009946683,7.9608,7.9446,0.55,7.5122,6.0378,58.033,0.7391,0.9874,9.8047,8.2492,7.4099,1431964383,1443342260,9432418242,44065075548,中报,45384870678
000961.SZ,中南建设,69789840526,4228351000,20.3068,5.7095,0.7074,14.5116,1.7404,91.232,1.2548,41.5109,52.265,19.9139,5.0595,4521149550,38220100559,12808927970,46641732272,中报,54608009463
000967.SZ,盈峰环境,14636591250,1477963125,9.5079,4.9507,0.4,8.5962,6.551,41.1453,1.265,206.3171,4.4518,25.1446,4.7745,1586735422,751863756.4,1786497565,12229372696,中报,11634829770
000968.SZ,蓝焰控股,2385132727,758345455,16.4189,4.7491,0.68,16.6436,11.3416,48.0126,1.821,9.7088,-1.7053,41.3985,4.3151,800158623.1,843500000,300000000,1971878279,中报,1953637436
000977.SZ,浪潮信息,56826758000,869387500,9.2867,7.3519,0.424,5.9922,3.2306,58.7575,1.6354,-5.6018,12.4568,11.8189,6.4138,644642076.7,221525487.7,2600000000,43081544539,中报,50973769997
000983.SZ,西山煤电,33516770000,2029457143,9.62,6.6778,0.805,12.5968,7.2494,62.3303,0.7577,9.5471,10.9913,32.8767,6.5009,3922469994,9863943516,3578600000,33865403006,中报,32880508793
000988.SZ,华工科技,5900533333,494555556,8.3122,5.9657,0.66,11.3812,8.8068,32.0504,2.5683,2.423,-6.8306,25.0888,5.9218,779070323.7,52000000,507494000,5108832484,中报,5170932950
000997.SZ,新大陆,7239586364,782770833,13.22,5.6893,0.8718,15.9574,8.6856,49.7532,1.4891,3.7357,1.0137,35.2463,5.5424,1005870818,433666666.6,767909036.3,5136129271,中报,5167029109
000998.SZ,隆平高科,4046500000,779000000,10.575,5.685,0.105,2.04,3.517,52.3835,1.439,18.8798,-7.7929,46.7856,4.9938,286488117.6,3177818070,2969100000,2487327530,中报,1599084994
001979.SZ,招商蛇口,1.13884E+11,18772347619,21.4925,11.2869,1.2,12.8892,3.4212,76.722,1.4605,23.1944,-20.4942,37.8778,8.2269,14100220224,75980689399,21722530359,33373055344,中报,34056765812
002001.SZ,新和成,9053320000,2642616667,14.7224,8.4254,1.08,14.4472,11.6738,40.2189,1.5327,34.7512,-16.8515,46.6241,7.3644,2708625814,1574235400,3355054538,7734751451,中报,7687369021
002008.SZ,大族激光,10946257619,1208479524,13.2775,8.7817,0.72,9.0218,5.4378,51.7768,1.6516,4.5068,-7.3002,33.4871,7.4429,868192774.3,290962985.9,2069000000,9468337873,中报,9258253164
002010.SZ,传化智联,24114115000,1363851667,10.1083,4.066,0.38,10.0834,7.3098,52.1866,1.2935,5.9255,-14.878,14.6598,3.8249,1774104170,1112787760,2584459604,18881148483,中报,20189609487
002013.SZ,中航机电,12696188667,956867411,9.5717,2.7446,0.18,6.9952,3.6206,57.6876,1.4194,8.4198,-2.0232,22.9897,2.512,757278369.3,923950000,3006733754,10678978200,中报,11035555911
002019.SZ,亿帆医药,5706350000,1137841667,15.186,6.423,0.8,14.2556,12.2504,28.4719,1.4846,12.7386,8.2695,43.5928,5.6844,1180329651,16110513.07,1710896573,5035590070,中报,5061392985
002023.SZ,海特高新,730635000,108226667,2.6,4.71,0.12,2.642,2.9056,43.1227,1.5066,9.8568,65.6307,37.9848,4.6795,97110835.94,1521581811,332844691.4,696997560.7,中报,751257359.4
002024.SZ,苏宁易购,3.07245E+11,12179328750,13.413,10.0874,0.4656,5.2766,2.7366,59.53,1.2586,22.2617,22.4911,14.0434,8.7289,2735896000,14733901000,30801156000,2.71142E+11,中报,2.68011E+11
002036.SZ,联创电子,5909428571,320571429,13.5057,3.333,0.3424,11.6406,4.9102,69.7739,1.1115,26.6087,21.4784,13.8052,2.995,255371806.9,514529154.6,1619800800,5339388136,中报,5690120693
002042.SZ,华孚时尚,16063133333,697916667,9.5483,4.8008,0.46,10.7224,5.401,62.8766,1.0563,6.2725,8.2216,9.8662,4.0731,775374901.6,450727771.6,8706935996,14697333230,中报,14747321032
002044.SZ,美年健康,10380930588,1042196099,13.334,2.1328,0.02,0.5278,3.0912,60.0569,0.8517,18.8601,2.9256,35.6186,1.9844,158499756,1609995462,2361167746,7282121333,中报,8370040073
002048.SZ,宁波华翔,16756716667,850971111,9.6667,14.0637,1.32,9.9556,8.111,41.1408,1.4438,7.9486,8.1366,19.7832,13.7567,1295432218,82965424.07,1573485655,15009810786,中报,15618597970
002050.SZ,三花智控,11832799355,1418679032,14.7352,3.5656,0.5,16.1006,12.1706,37.6334,1.8859,7.0195,4.307,28.3169,3.11,1659766159,2000000,1408757665,11662214056,中报,11494431689
002051.SZ,中工国际,11254750000,1275125000,12.2157,8.2653,0.8,10.4382,5.231,53.4688,1.6532,22.1459,-7.711,19.9857,8.1581,1164504747,152320113.5,768277935.3,10999399675,中报,10254795493
002074.SZ,国轩高科,7465328571,727887143,8.1363,8.1563,0.62,8.1448,4.7162,61.335,1.2071,19.3561,38.3567,29.5123,7.6878,776179557.6,812261428.6,2676327800,7213138246,中报,6868674890
002078.SZ,太阳纸业,23304661923,2080699615,14.7658,5.5234,0.68,13.7442,8.9274,56.0574,0.7977,3.7657,2.8884,19.7103,5.0096,2060277061,1614559665,6670011094,21552343420,中报,21867997627
002080.SZ,中材科技,13968990000,1392719333,12.2836,6.824,0.7774,12.0716,7.6014,55.4059,1.0769,7.7006,27.7424,27.9741,5.8905,1562057377,3131296561,3194044123,12125033857,中报,12711511269
002085.SZ,万丰奥威,11398630000,983450000,13.5,3.305,0.38,13.7194,9.7818,51.9406,1.3064,10.9188,-3.509,22.4885,2.7104,1036678955,1528235387,2715814933,10046286509,中报,10238986266
